Sentence,Action,Room,Object
move by the cookies by the parlor,go,living room,snack
fetch a chips inside the my room,get,bedroom,snack
clean up the apple from the living room,store,living room,fruit
locate some water from the bedroom,find,bedroom,drink
clean up an item from the pantry,store,kitchen,unknown
place the apple inside the living room,store,living room,fruit
put back the beverage,store,unknown,drink
take the item near the bedroom,store,bedroom,unknown
fetch the water near the kitchen,get,kitchen,drink
place an apple from the bedroom,store,bedroom,fruit
bring a soda by the my room,get,bedroom,drink
clean up a chips close to the bedroom,store,bedroom,snack
look for the item close to the parlor,find,living room,unknown
fetch me an orange inside the bedroom,get,bedroom,fruit
get some soda by the sitting room,get,living room,drink
tidy the apple in the my room,store,bedroom,fruit
go over to the kitchen,go,kitchen,unknown
get a soda close to the bedroom,get,bedroom,drink
go over to the soda by the bedroom,go,bedroom,drink
throw out the banana around the my room,store,bedroom,fruit
head over by the banana by the my room,go,bedroom,fruit
go near the crackers,go,unknown,snack
go towards the banana,go,unknown,fruit
clear a chips from the parlor,store,living room,snack
store the soda in the pantry,store,kitchen,drink
head over to the chips around the my room,go,bedroom,snack
identify some soda close to the kitchen,find,kitchen,drink
store the apple close to the kitchen,store,kitchen,fruit
put away the cookies by the living room,store,living room,snack
place the chips by the pantry,store,kitchen,snack
get me the beverage close to the pantry,get,kitchen,drink
bring the crackers around the pantry,get,kitchen,snack
proceed over to the water in the canteen,go,kitchen,drink
find me the crackers,find,unknown,snack
tidy up an apple from the canteen,store,kitchen,fruit
clear the chips close to the my room,store,bedroom,snack
bring me some beverage in the bedroom,get,bedroom,drink
find some cookies inside the parlor,find,living room,snack
find me some soda around the canteen,find,kitchen,drink
drive over by the my room,go,bedroom,unknown
place the water close to the kitchen,store,kitchen,drink
put away a cookies close to the pantry,store,kitchen,snack
head over by the water inside the parlor,go,living room,drink
identify an item close to the my room,find,bedroom,unknown
clean the chips from the living room,store,living room,snack
bring the orange near the living room,get,living room,fruit
grab the banana around the kitchen,get,kitchen,fruit
clear away the orange in the kitchen,store,kitchen,fruit
bring some beverage from the pantry,get,kitchen,drink
go to the living room,go,living room,unknown
identify some cookies,find,unknown,snack
bring a thing near the kitchen,get,kitchen,unknown
retrieve an orange,get,unknown,fruit
look for the water close to the sitting room,find,living room,drink
throw away a chips near the parlor,store,living room,snack
retrieve some thing around the bedroom,get,bedroom,unknown
store a water,store,unknown,drink
retrieve some apple by the sitting room,get,living room,fruit
find an apple around the my room,find,bedroom,fruit
bring me the water in the living room,get,living room,drink
put away a soda close to the my room,store,bedroom,drink
pick up some soda close to the pantry,get,kitchen,drink
drive near the banana around the canteen,go,kitchen,fruit
look for the soda close to the kitchen,find,kitchen,drink
grab some thing from the bedroom,get,bedroom,unknown
go by the soda in the my room,go,bedroom,drink
go over to the water,go,unknown,drink
fetch the item in the kitchen,get,kitchen,unknown
fetch me the water,get,unknown,drink
find the apple inside the my room,find,bedroom,fruit
clear away a crackers from the my room,store,bedroom,snack
take the orange around the my room,store,bedroom,fruit
proceed over to the orange close to the kitchen,go,kitchen,fruit
clean up the orange close to the canteen,store,kitchen,fruit
bring me some beverage by the living room,get,living room,drink
go towards the canteen,go,kitchen,unknown
grab me some thing from the my room,get,bedroom,unknown
proceed by the pantry,go,kitchen,unknown
bring the beverage by the parlor,get,living room,drink
look for some item from the sitting room,find,living room,unknown
locate the orange,find,unknown,fruit
identify a soda near the bedroom,find,bedroom,drink
clean up a soda near the pantry,store,kitchen,drink
find an orange around the parlor,find,living room,fruit
clean up the object by the living room,store,living room,unknown
place a banana by the living room,store,living room,fruit
pick up the chips,get,unknown,snack
look for an item inside the my room,find,bedroom,unknown
place the chips by the my room,store,bedroom,snack
look for some banana inside the bedroom,find,bedroom,fruit
proceed over by the canteen,go,kitchen,unknown
throw out a water in the pantry,store,kitchen,drink
search for some crackers by the bedroom,find,bedroom,snack
tidy up a beverage,store,unknown,drink
drive toward the apple,go,unknown,fruit
get the soda near the my room,get,bedroom,drink
look for some water,find,unknown,drink
look for a water close to the sitting room,find,living room,drink
identify the thing from the parlor,find,living room,unknown
drive over by the orange inside the parlor,go,living room,fruit
get me some beverage near the canteen,get,kitchen,drink
clean up a soda,store,unknown,drink
identify some item near the parlor,find,living room,unknown
head towards the apple in the living room,go,living room,fruit
pick up the banana,get,unknown,fruit
retrieve the item by the sitting room,get,living room,unknown
proceed over by the chips,go,unknown,snack
search for some beverage close to the parlor,find,living room,drink
proceed near the banana around the bedroom,go,bedroom,fruit
clear away the banana,store,unknown,fruit
put away the banana inside the sitting room,store,living room,fruit
clean the soda,store,unknown,drink
retrieve an orange around the sitting room,get,living room,fruit
move over to the parlor,go,living room,unknown
go to the orange in the my room,go,bedroom,fruit
look for some object around the living room,find,living room,unknown
put away the thing from the kitchen,store,kitchen,unknown
find a soda in the living room,find,living room,drink
look for the thing in the sitting room,find,living room,unknown
head towards the bedroom,go,bedroom,unknown
fetch me a water inside the parlor,get,living room,drink
proceed over by the bedroom,go,bedroom,unknown
go toward the parlor,go,living room,unknown
proceed over to the water in the my room,go,bedroom,drink
put away the apple inside the parlor,store,living room,fruit
find a crackers in the my room,find,bedroom,snack
search for some thing around the sitting room,find,living room,unknown
grab me an orange around the canteen,get,kitchen,fruit
clean up the soda near the kitchen,store,kitchen,drink
get some crackers from the pantry,get,kitchen,snack
look for an apple,find,unknown,fruit
